Temperatura:,6,Humedad:,i
Temperatura:,7,Humedad:,i
Temperatura:,8,Humedad:,i
Temperatura:,9,Humedad:,i
Temperatura:,10,Humedad:,i
Temperatura:,11,Humedad:,i
Temperatura:,12,Humedad:,i
Temperatura:,13,Humedad:,i
Temperatura:,14,Humedad:,i
Temperatura:,15,Humedad:,i
Temperatura:,16,Humedad:,i
Temperatura:,17,Humedad:,i
Temperatura:,18,Humedad:,i
Temperatura:,19,Humedad:,i
Temperatura:,20,Humedad:,i
Temperatura:,21,Humedad:,i
Temperatura:,22,Humedad:,i
Temperatura:,23,Humedad:,i
Temperatura:,24,Humedad:,i
Temperatura:,25,Humedad:,i
Temperatura:,26,Humedad:,i
Temperatura:,27,Humedad:,i
Temperatura:,28,Humedad:,i
